title,type_job,salary,compagny,location,region,departement,latitude,longitude,language,skills,date,description,tokens,source
Ingénieur CVC - Activité DATA CENTER (H/F),CDI,67500.0,PROJEX,Ivry-sur-Seine 94200 Île-de-France,Île-de-France,Val-de-Marne,48.8122302,2.3872525,language,['HVAC'],2023-12-29,"Au sein de l'activité DATACENTER les missions attendues sont de :
- Réaliser des études techniques (missions de conception, audits techniques et énergétiques, expertise ), suivre les chantiers et participer activement aux phases de réception (Testing & Commissioning) sur des opérations à forte valeur ajoutée technique
- Assurer le management de projet de certaines opérations (volet organisationnel, technique et financier)
- Participer aux réunions de planning de l'activité (anticipation des besoins, synthèse des problèmes rencontrés pour définition des actions correctives, avancement des projets )
- Proposer des axes d'amélioration au niveau de l'organisation interne (outils, rendus, principes d'intervention )
- Participer à l'élaboration d'offres commerciales

- Expérience en ingénierie technique
- Spécialiste technique en HVAC avec une curiosité vis-à-vis des autres corps de métiers (interfaces fortes avec le courant fort notamment)
- Être capable de tenir une conversation en anglais
- Orientation client
- Pas de nécessité d'avoir une expérience dans le domaine data center (formation interne assurée)

La mise en place du télétravail pourra être mise en place en fonction de votre lieu d'habitation.",sein datacenter mission attendues réaliser études technique mission conception audit technique énergétiques expertise suivre chantiers participer activement phase réception testing commissioning opérations forte valeur ajoutée technique assurer management projet certaines opérations volet organisationnel technique financier participer réunions planning anticipation besoins synthèse problèmes rencontrés définition action corrective avancement projets proposer ax niveau interne outils rendus principe participer commerciales expérience ingénierie technique spécialiste technique hvac curiosité autres corp métiers interface fortes courant fort notamment être capable tenir conversation anglais orientation client nécessité expérience domaine data center formation interne assurée mise place télétravail pourra être mise place fonction lieu,Pole_Emploi
Technicien backup Data Center (H/F),CDI,,METALINE,Chartres 28000 Centre-Val de Loire,Centre-Val de Loire,Eure-et-Loir,48.4438601,1.4881434,language,"['METALINE', 'Réseaux', 'Reporting', 'Reporting']",2023-12-29,"METALINE, ESN spécialisée dans le recrutement de techniciens à haute valeur ajoutée, débutants ou confirmés sur des métiers de l'Ingénierie, du conseil en Technologies et des Systèmes d'information et Réseaux, recherche pour l'un de ses clients basé à CHARTRES un Technicien backup Data Center.

Notre mission sera de vous accompagner et vous faire monter en compétences afin de vous rendre opérationnel et autonome à l'issue de cette expérience.

Vous êtes capable de vous adapter aux dernières nouveautés, voire d'innover ?

Alors n'attendez plus pour rejoindre une équipe motivante et dynamique !

Tâches :

Tâches techniques et administratives :
- Installation/désinstallation de matériel,
- Câblage/Brassage entre équipements,
- Installation logiciels/paramétrages/firmware,
- Mise en service d'équipements,
- Contrôle de liens/câbles via Fluke,
- Interventions sur incident, aide au diagnostic, vérifications,
- Gestions de médias de sauvegarde,
- Remplacement d'équipement,
- Interventions spécifiques sous pilotage,
- Contrôle de l'environnement technique,
- Gestion des demandes d'accès au site/accompagnement/contrôle suite à intervention,
- Gestion des stocks de matériel sur les sites ne disposant pas d'un logisticien dédié (réception, livraison, stockage, transport),
- Tri sélectif dans le respect de la norme 14001,
- Accueil téléphonique en HNO,
- Exécution des demandes de travaux programmées en HNO
- Compte-rendu de passage de consigne.
- Tenue de la position AMI/2AI (respectivement Normandie et Aubervilliers) : accueil, pilotage et traçage des activités effectuées.
- Participer si nécessaire aux rotations d'astreinte des sites,
- Escalader à son Pilote d'Activité toute difficulté rencontrée dans l'exercice de ses fonctions.

Reporting :
- Comptes-rendus de vacations,
- Reporting de ses interventions dans les outils de suivi des demandes de travaux,
- Rapport d'étonnement lors des rondes de contrôle.",metaline esn spécialisée recrutement techniciens haute valeur ajoutée débutants confirmés métiers conseil technology systèmes réseaux recherche client basé chartres technicien backup data center mission accompagner faire monter compétences afin rendre opérationnel autonome cette expérience capable adapter dernières nouveautés voire alors plus rejoindre équipe motivante dynamique tâches tâches technique administratives matériel entre équipements installation mise service contrôle via fluke intervention incident aide diagnostic vérifications gestions médias sauvegarde remplacement intervention spécifiques sou pilotage contrôle technique gestion demandes suite intervention gestion stock matériel site disposant logisticien dédié réception livraison stockage transport tri sélectif respect norme accueil téléphonique hno exécution demandes travaux programmées hno passage consigne tenue position respectivement normandie aubervilliers accueil pilotage traçage activités effectuées participer si nécessaire rotation site escalader pilote toute difficulté rencontrée fonctions reporting vacation reporting intervention outils suivi demandes travaux rapport lors rondes contrôle,Pole_Emploi
TALENTUEUX CONSULTANT BI / BIG DATA - LILLE - (H/F),CDI,38500.0,NEXT DECISION,Lille 59000 Hauts-de-France,Hauts-de-France,Nord,50.6365654,3.0635282,language,"['Talend DI', 'Semarchy xDI', 'MyReport Data', 'Dataviz :', 'Power BI', 'Qlik Sense', 'Groupes', 'TPE \n Gérer propres', 'A Z \n ', 'Rencontrons -nous !', 'Next Decision', 'seras #', 'NextCompatible', 'NextTribu !']",2023-12-29,"TA MISSION :
Rattaché à l'une de nos agences, tu apporteras ton expertise et ton énergie sur de super projets décisionnels et Big Data. Tu auras l'opportunité de travailler sur des technologies innovantes et des secteurs divers. Tu interviendras en Conseil, Réalisation, Expertise, Formation et Développement. Pas de routine chez nous !

TON PROFIL :
Tu justifies d'une expérience réussie en informatique décisionnelle. Tu connais ou désires travailler sur l'un des outils BI/Big Data, comme par exemple :

ETL / ELT : Talend DI, Semarchy xDI, MyReport Data, ...
Dataviz : Power BI, Qlik Sense, MyReport Builder, ...
Ce que tu ne veux pas :

Être un numéro pour tes commerciaux
Que tes managers ne regardent que leurs objectifs personnels
Que tes responsables connaissent mieux les terrains de golf que toi
Ce que tu aimerais :

Échanger avec tes collègues
Faire évoluer ton CV grâce à des formations et certifications (IBM, Oracle, Microsoft...)
Avoir des missions variées, à la pointe des nouveautés du marché auprès de Grands Groupes, PME & TPE
Gérer tes propres projets de A à Z
Avoir ta part des bénéfices de l'entreprise
Être managé par tes pairs qui font le même métier que toi au quotidien
Intégrer une société solide et pérenne avec une croissance à deux chiffres
Que la société pour laquelle tu travailles soit humaine et solidaire dans ses actions en s'investissant grâce à divers mécénats
Du fun et de la convivialité au sein de ton entreprise (une partie de baby foot, un petit verre ou un repas entre collègues ?)
Tu te reconnais dans nos valeurs ? Rencontrons-nous !
Chez Next Decision, nous mettons tout en œuvre pour que tous et toutes se sentent valorisés et libres d'être eux-mêmes au travail. Pour cela, nous cultivons la diversité : l'identité, l'orientation sexuelle,

la religion, l'origine ethnique, l'âge ou encore le handicap ne sont pas des sujets chez Next !

Plus tu es unique et toi-même, plus tu seras #NextCompatible et trouveras ta place au sein de la #NextTribu !",mission rattaché agences apporteras expertise énergie super projets décisionnels big data travailler technology innovantes secteurs diver interviendras conseil réalisation expertise formation développement routine chez profil justifies expérience réussie informatique décisionnelle connais désires travailler outils data comme exemple etl elt talend di semarchy xdi myreport data dataviz power bi qlik sense myreport builder veux être numéro commerciaux manager regardent leurs objectifs personnel responsables connaissent mieux terrain golf aimerais échanger collègues faire évoluer cv grâce formation certification ibm oracle microsoft avoir mission variées pointe nouveautés marché auprès grand groupes pme tpe gérer propres projets a z avoir part bénéfices être managé pair font métier quotidien intégrer société solide pérenne croissance deux chiffres société laquelle travailles humaine solidaire action grâce diver mécénats fun convivialité sein entreprise partie baby foot petit verre repas entre collègues reconnais valeurs chez next decision mettons tout œuvre tous toutes sentent valorisés libres travail cela cultivons diversité sexuelle religion ethnique encore handicap sujets chez next plus unique plus nextcompatible trouveras place sein nexttribu,Pole_Emploi
Data Analyst Procédés Industriels (H/F),CDI,,LALLEMAND,Saint-Simon 15130 Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Cantal,44.9642272,2.4898166,language,"['Excellence Opérationnelle', 'Piloter', 'Développer', 'Mettre', 'Accompagner', 'Data Scientists', 'Data Science', 'Profil Recherché', 'Génie Statistique', 'Apprentissage Automatique', 'Data Science']",2023-12-29,"Missions et Activités : 

Intégré(e) au sein de l'équipe Excellence Opérationnelle, vos missions seront dédiées au développement de la stratégie data et à son déploiement au sein des 5 usines de l'unité d'affaire :

Piloter des projets de transformation digitale, en faisant appel à l'analyse et au traitement des données
Gérer, collecter, préparer et analyser les données
Développer la communication au travers de la visualisation des données et de tableaux de bord interactifs qui faciliteront la prise de décision
Mettre en place les outils de visualisation qui aideront dans la détection de signaux faibles et aider à leur interprétation, comprendre et anticiper des phénomènes complexes (pannes, dérives, dysfonctionnements ), optimiser le fonctionnement des procédés, dans le but d'améliorer la performance des installations et des usines.
Fournir des recommandations aux métiers demandeurs, et aider à la prise de décisions
Accompagner la validation et la mise en production des solutions retenues auprès des utilisateurs.
Collaborer au sein du réseau des Data Scientists du groupe Lallemand, et contribuer à l'accroissement continu des compétences en Data Science.


Pré-requis du poste

Profil Recherché :

Idéalement titulaire d'un diplôme d'ingénieur(e) en Data Science, en Génie Statistique, en Apprentissage Automatique, en Mathématiques Appliquées ou en Génie des Procédés avec une spécialisation en Data Science.

Vous savez faire preuve d'une grande autonomie, d'une bonne organisation et d'esprit d'initiative. Une connaissance de l'environnement industriel, du génie des procédés et une appétence pour les outils de l'industrie 4.0 seront un plus.

Au cœur de l'environnement de production, vous saurez assurer les changements, écouter et faire passer vos messages avec pédagogie et challenger le statut quo auprès des équipes au sein desquelles vous interviendrez.",mission activités intégré e sein excellence opérationnelle mission dédiées développement stratégie data déploiement sein usines piloter projets transformation digitale faisant appel traitement données gérer collecter préparer analyser données développer communication travers visualisation données tableau bord interactifs faciliteront prise décision mettre place outils visualisation aideront détection signaux faibles aider interprétation comprendre anticiper phénomènes complex pannes dérives dysfonctionnements optimiser fonctionnement procédés but performance installation usines fournir recommandations métiers demandeurs aider prise décisions accompagner validation mise production solution retenues auprès utilisateurs collaborer sein réseau data scientist groupe lallemand contribuer continu compétences data science poste profil recherché idéalement titulaire diplôme e data science génie statistique apprentissage automatique mathématiques appliquées génie procédés spécialisation data science savez faire preuve grande autonomie bonne organisation connaissance industriel génie procédés appétence outils plus cœur production saurez assurer changements écouter faire passer message pédagogie challenger statut quo auprès équipes sein desquelles interviendrez,Pole_Emploi
Data Analyst experimenté SEO / SEA (H/F),CDI,,PUBLITHINGS,Noisy-le-Roi 78590 Île-de-France,Île-de-France,Yvelines,48.8439572,2.0645422,language,"['Responsabilités', 'Vos', 'Google Search Console', 'SEMrush', 'Power B.I \n ']",2023-12-28,"Description de l'entreprise :
Publithings SAS est une entreprise spécialisée dans l'édition de sites internet d'actualité sur l'innovation et la vente de publicité sur ce support, l'activité de consulting en création d'objets connectés, l'aide et le support pour des événements sur la thématique de l'innovation ainsi que des formations. 

Nous sommes à la recherche d'un Data Analyst SEO / SEA talentueux et motivé pour rejoindre notre équipe dynamique et contribuer à notre croissance continue.

Responsabilités :
En tant que Data Analyst SEO / SEA, vous serez responsable de l'analyse approfondie des données liées au référencement naturel (SEO) et payant (SEA) pour optimiser la visibilité en ligne de nos produits/services. Vos responsabilités incluront, sans toutefois s'y limiter :

Analyser les performances des campagnes SEO / SEA et fournir des rapports réguliers.
Identifier les tendances et les opportunités pour améliorer le classement des moteurs de recherche et l'efficacité des campagnes publicitaires.
Collaborer avec l'équipe marketing pour développer des stratégies basées sur les données pour accroître la visibilité en ligne.
Utiliser des outils d'analyse avancés pour extraire des informations significatives à partir des données.

Exigences :

Diplôme en informatique, statistiques, marketing ou domaine connexe.
&gt; 15 ans d'expérience.
Expérience démontrée en analyse de données, de préférence dans le domaine du référencement (SEO) et de la publicité en ligne (SEA).
Excellentes compétences en communication et en présentation pour expliquer les résultats de manière claire aux non-initiés.
Maîtrise des outils d'analyse de données tels que Google Analytics, Google Search Console, SEMrush, etc.
et les outils tel que Power B.I
Connaissance approfondie des tendances du référencement naturel et payant.

Avantages :

Environnement de travail stimulant et axé sur l'innovation.
Possibilités de développement professionnel et de formation continue.
Package salarial compétitif et avantages sociaux: Nous finançons les places en crèche pour les membres de votre famille.


Si vous êtes passionné par l'analyse de données, le référencement et que vous recherchez une opportunité excitante au sein d'une entreprise en pleine croissance, nous serions ravis de recevoir votre candidature.

Comment postuler :
Veuillez envoyer votre CV et lettre de motivation en indiquant clairement le sujet du courriel comme ""Candidature - Data Analyst SEO / SEA"".


PUBLITHINGS est un employeur garantissant l'égalité des chances.",description publithings sa entreprise spécialisée site internet vente publicité support consulting création connectés support événements thématique ainsi formation recherche data analyst seo sea talentueux motivé rejoindre équipe dynamique contribuer croissance continue responsabilités tant data analyst seo sea responsable approfondie données liées référencement naturel seo payant sea optimiser visibilité ligne responsabilités incluront sans toutefois limiter analyser performance campagnes seo sea fournir rapport réguliers identifier tendances opportunités améliorer classement moteurs recherche campagnes publicitaires collaborer marketing développer stratégies basées données accroître visibilité ligne utiliser outils avancés extraire information significatives partir données exigences diplôme informatique statistiques marketing domaine connexe gt an expérience démontrée analyse données préférence domaine référencement seo publicité ligne sea excellentes compétences communication présentation expliquer résultats manière claire maîtrise outils données tels google analytics google search console semrush etc outils tel power connaissance approfondie tendances référencement naturel payant avantages environnement travail stimulant axé possibilités développement professionnel formation continue package salarial compétitif avantages sociaux finançons place crèche membres famille si passionné données référencement recherchez opportunité excitante sein entreprise pleine croissance ravis recevoir candidature comment postuler veuillez envoyer cv lettre motivation indiquant clairement sujet courriel comme candidature data analyst seo sea publithings employeur garantissant chance,Pole_Emploi
Ingénieur SI & DATA (H/F),CDI,33600.0,CBI EMPLOI,Nîmes 30000 Occitanie,Occitanie,Gard,43.8374249,4.3600687,language,"['Un ( e ) Ingénieur SI & Data', 'F / H', 'Reporting', 'BAC+5', 'Maitrise']",2023-12-29,"L'entreprise
CBI Emploi, votre entreprise de travail temporaire et de recrutement, régionale et indépendante, est à votre écoute. Notre agence spécialisée dans le recrutement de personnel intérimaire et composée de professionnels disponibles et humains, touche de nombreuses familles de métiers. Nous recherchons, pour le compte de notre client basé à Nimes (30)

Un (e) Ingénieur SI & Data (F/H)

Vos missions
- Responsable du système d'information

- Analyse et exploitation des données

- Reporting et propositions de solutions

- Gestion de la relations avec le différentes parties prenantes 

Listes non exaustive.


Votre profil
Titulaire d'un BAC+5

Excellente maitrise des outils et du langage informatique

Qualité rédactionnelle

Maitrise de l'anglais appréciée

Votre salaire et vos avantages :

Salaire fixe à partir de 2800 ? Brut  + primes sur objectifs annuel

CDI

Autres avantages que vous pourrez découvrir lors d'un futur entretien.",cbi emploi entreprise travail temporaire recrutement régionale indépendante écoute agence spécialisée recrutement personnel intérimaire composée professionnels disponibles humains touche nombreuses familles métiers recherchons compte client basé nimes e ingénieur si data mission responsable système analyse exploitation données reporting proposition solution gestion relation différentes party prenantes listes non exaustive profil titulaire excellente maitrise outils langage informatique qualité rédactionnelle maitrise appréciée salaire avantages salaire fixe partir brut prime objectifs annuel cdi autres avantages pourrez découvrir lors futur entretien,Pole_Emploi
Consultant Oracle Data Integration (H/F),CDI,36500.0,KWET CONSEIL,Courbevoie 92400 Île-de-France,Île-de-France,Hauts-de-Seine,48.8953328,2.2561602,language,"['Microsoft Oracle', 'Oracle', 'Oracle Data Integrator', 'Microsoft SSRS SQL Server Reporting', 'SQL programming', 'fast DML huge datasets', 'Parallel processing', 'Pipelined functions', 'Oracle Hints \n       + Configuration', 'Visual Basic', 'Visual Studio', 'SQL Server SQL and T', 'SQL Server command line', 'SSIS', 'SQL Server']",2023-12-28,"Dans le cadre de développement de ses activités auprès de ses clients grands comptes, la société KWET Conseil cherche un consultant Business intelligence spécialisé sur Oracle Data Integration (ODI) et qui aura pour mission d'accompagner nos clients sur : 
- La livraison des solutions de Business Intelligence (Microsoft et Oracle) dans le secteur à nos clients en Europe et au Moyen-Orient.
- La résolution des problèmes complexes des clients en donnant des conseils et en recommandant des solutions
- La définition des architectures de solutions détaillées pour les solutions de services publics
- La collaboration avec les intégrateurs de systèmes partenaires Oracle pour fournir des solutions clients
- La collaboration directe avec les clients pour évaluer leurs besoins en matière de business intelligence, identifier les opportunités d'amélioration et développer des stratégies pour offrir une valeur mesurable.
- La conception des solutions de business intelligence qui répondent aux exigences des clients, en utilisant une gamme d'outils et de technologies pour développer des solutions efficaces et efficientes.

Profil recherché : 
- Expérience avérée sur un poste similaire
- Expertise technique et expérience en matière d'entreposage de données, de modélisation et d'analyse de données : 
      + Oracle Data Integrator (ODI)
      + Microsoft SSRS SQL Server Reporting Services
      + Oracle SQL scripting and tuning skills
      + Oracle PL / SQL programming e.g. fast DML on huge datasets (over a billion rows), Parallel processing, Pipelined functions, Oracle Hints
      + Configuration (ReportServer.config)
      + Report Builder
      + Visual Basic
      + Visual Studio or Shell Scripting
      + SQL Server SQL and T-SQL
      + RS.exe command line utility
      + SQL Server command line scripts
      + SSIS (SQL Server integration services) packages
      + Command-Line Shell scripting including batch scripts
      + NET Powershell scripting",cadre développement activités auprès client grand comptes société kwet conseil cherche consultant business intelligence spécialisé oracle data integration odi mission client livraison solution business intelligence microsoft oracle secteur client europe résolution problèmes complex client donnant conseils recommandant solution définition architecture solution détaillées solution service public collaboration intégrateurs systèmes partenaires oracle fournir solution client collaboration directe client évaluer leurs besoins matière business intelligence identifier opportunités développer stratégies offrir valeur mesurable conception solution business intelligence répondent exigences client utilisant gamme technology développer solution efficaces efficientes profil recherché expérience avérée poste similaire expertise technique expérience matière données modélisation données oracle data integrator odi microsoft ssrs sql server reporting service oracle sql scripting and tuning skill oracle pl sql programming fast dml huge datasets over a billion row parallel processing pipelined function oracle hint configuration report builder visual basic visual studio or shell scripting sql server sql and command line utility sql server command line script ssis sql server integration service package shell scripting including batch script net powershell scripting,Pole_Emploi
DATA ENGINEER - MADONNE (H/F),CDI,,FEDERATION POUR L'ENTREPRENEURIAT DURABL,  Île-de-France,Île-de-France,Indre,46.603354,1.8883335,language,"['Acteur financier envergure', 'Natixis Corporate & Investment Banking', 'Natixis Corporate & Investment Banking', 'Natixis Corporate & Investment Banking', 'Core', 'Madonne', 'BOP', 'IT', 'Risque', 'Front', 'Participer', 'CD', 'Legacy', 'Hadoop', 'Monter', 'Participer', 'DataLake', 'Top Employer', 'Spark Scala', 'SCRUM', 'langage C #', 'SQL']",2023-12-28,"Description de l'entreprise



Acteur financier d'envergure internationale, Natixis Corporate & Investment Banking met à disposition des entreprises, institutions financières, sponsors financiers, souverains et supranationaux une palette de services en conseil, investment banking, financements, banque commerciale et sur les marchés de capitaux.

Ses équipes d'experts, présentes dans 30 pays, conseillent les clients sur leur développement stratégique en les accompagnant dans la croissance et la transformation de leurs activités tout en maximisant leur impact positif. Natixis Corporate & Investment Banking s'est engagée à soutenir la transition environnementale en alignant son bilan financier sur une trajectoire de +1,5 °C d'ici à 2050.

Natixis Corporate & Investment Banking fait partie du pôle Global Financial Services du Groupe BPCE, 5e établissement financier européen et 2e acteur bancaire en France à travers ses réseaux Banque Populaire et Caisse d'Epargne.

Si vous êtes enthousiaste à l'idée de relever des défis passionnants, d'avoir un impact et de contribuer à la construction du monde de demain, rejoignez-nous et faites bien plus qu'un simple job.

En tant qu'employeur responsable et engagé à construire un environnement de travail inclusif, nous offrons les mêmes opportunités aux talents de tous horizons, indépendamment de votre âge, origine, orientation sexuelle, handicap...



Poste et missions



Vous rejoignez l'équipe Core en charge de la maintenance évolutive des applications Madonne (Récolte, Explication et Validation du PnL) et BOP (Base transactionnelle unifiée au coeur de l'IT Risque).

 

Au quotidien vous avez pour missions de :

Participer à l'adaptation de nos applications en adéquation avec les besoins métiers (nouveaux produits, nouvelles règlementations, nouveaux SI Front) ;
Participer activement à la modernisation de nos outils, modernisation de notre chaîne CI/CD, bascule des process Legacy vers notre stack technique cible (Hadoop, Spark/Scala, SingleStore) ;
Monter en compétences sur le domaine fonctionnel de l'analyse et de la certification du PL. Vous développerez une compréhension globale des chaînes de traitements ;
Participer à tous les travaux de modernisation de notre SI, et être donc engagé dans la migration de nombreux process vers le DataLake Risk.
 

#Transformativefinance 

Ce poste est basé à Paris avec la possibilité de télétravailler.

En tant que Top Employer, nous plaçons nos collaborateurs au centre de nos attentions. Des dispositifs de mobilité interne, développement de carrière et de formation vous permettent de grandir et de vous épanouir tout au long de votre parcours.

Vous évoluez dans un environnement de travail hybride, inclusif et favorisant le collaboratif.

Vous avez également la possibilité de vous engager en faveur de la société et de causes qui vous tiennent à cœur via notre fondation d'entreprise. 

A propos du processus de recrutement

Vous serez contacté par l'un de nos recruteurs avant de rencontrer nos experts métier (manager, membre de l'équipe ou de la filière métier).



Profil et compétences requises



Qui êtes-vous ? Si vous vous reconnaissez dans la description suivante vous êtes fait pour travailler avec nous :

Vous souhaitez bénéficier d'une première expérience significative en développement Spark et Scala.

Vous maîtrisez :
- Les méthodes agiles, notamment SCRUM ;
- Le langage C#, en vous permettant de comprendre et intervenir sur du code legacy ;
- Le langage SQL et vous avez une appétence pour la manipulation de la data.

Vous êtes :
- Reconnu par votre esprit d'équipe ;
- Capable de communiquer avec des publics différents, notamment avec le métier ;
- Autonome et ntéressé par l'environnement finance de marché.

Vous maitrisez l'anglais avec un niveau B1.

Dites-nous que vous êtes intéressé en répondant à cette annonce.",description acteur financier internationale natixis corporate investment banking met disposition entreprises institution financières sponsor financier souverains supranationaux palette service conseil investment banking financements banque commerciale marchés capitaux équipes présentes pay conseillent client développement stratégique accompagnant croissance transformation leurs activités tout maximisant impact positif natixis corporate investment banking engagée soutenir transition environnementale alignant bilan financier trajectoire natixis corporate investment banking fait partie pôle global financial service groupe bpce établissement financier européen acteur bancaire france travers réseaux banque populaire caisse si enthousiaste relever défis passionnants impact contribuer construction monde demain faites bien plus simple job tant responsable engagé construire environnement travail inclusif offrons mêmes opportunités talent tous horizon indépendamment âge origine orientation sexuelle handicap poste mission rejoignez core charge maintenance évolutive application madonne récolte explication validation pnl bop base transactionnelle unifiée coeur risque quotidien mission participer application adéquation besoins métiers nouveaux produits nouvelles règlementations nouveaux si front participer activement modernisation outils modernisation chaîne bascule process legacy vers stack technique cible hadoop singlestore monter compétences domaine fonctionnel certification pl développerez compréhension globale chaînes traitements participer tous travaux modernisation si être donc engagé migration nombreux process vers datalake risk transformativefinance poste basé paris possibilité télétravailler tant top employer plaçons collaborateurs centre attention dispositifs mobilité interne développement carrière formation permettent grandir épanouir tout long parcours évoluez environnement travail hybride inclusif favorisant collaboratif également possibilité engager faveur société cause tiennent cœur via fondation a propos processus recrutement contacté recruteurs avant rencontrer expert métier manager membre filière métier profil compétences requises si reconnaissez description suivante fait travailler souhaitez bénéficier première expérience significative développement spark scala maîtrisez méthodes agiles notamment scrum langage permettant comprendre intervenir code legacy langage sql appétence manipulation data reconnu esprit capable communiquer public différents notamment métier autonome ntéressé finance marché maitrisez niveau intéressé répondant cette annonce,Pole_Emploi
Data analyst (F/H),Intérim,35000.0,EXPECTRA,Montoir-de-Bretagne 44550 Pays de la Loire,Pays de la Loire,Loire-Atlantique,47.3285909,-2.1543171,language,"['PLM', 'VBA', 'BOM', 'PLM', 'Gestion Hebdomadaire', 'Effectuer', 'BOM', 'BOM', 'BOM', 'Communiquer']",2023-12-28,"Responsabilités principales :

Développement de Systèmes VBA & PLM :

Concevoir et mettre en ?uvre des systèmes VBA pour comparer les configurations de BOM.
Créer des outils permettant de détecter les écarts ou erreurs potentiels dans les BOM.
Réaliser des projets de développement de fonctionnalités sur PLM afin d'améliorer l'efficacité de nos utilisateurs.

Gestion Hebdomadaire :

Effectuer des tâches hebdomadaires pour assurer la visibilité et la conformité des BOM par projet.
Fournir des rapports réguliers sur l'état des BOM aux parties prenantes internes et externes.

Projet de Rapport BOM :

Diriger des projets visant à créer des rapports BOM comparant les configurations de différentes éoliennes dans un projet.

Communication avec les Parties Prenantes :

Collaborer avec la direction et les parties prenantes pour présenter des rapports sur l'état des BOM et les écarts identifiés.
Communiquer efficacement les résultats des analyses BOM aux différentes équipes et niveaux de gestion.


Ce poste peut être basé à Nantes ou à Saint-Nazaire avec des déplacements à prévoir entre les 2 sites à raison d'1 fois par semaine minimum.

La rémunération brute annuelle est à négocier selon votre expérience.",responsabilités principales développement systèmes vba plm concevoir mettre uvre systèmes vba comparer configuration bom créer outils permettant détecter écarts erreurs potentiels bom réaliser projets développement fonctionnalités plm afin utilisateurs gestion hebdomadaire effectuer tâches hebdomadaires assurer visibilité conformité bom projet fournir rapport réguliers bom party prenantes interne externes projet rapport bom diriger projets visant créer rapport bom comparant configuration différentes éoliennes projet communication party prenantes collaborer direction party prenantes présenter rapport bom écarts identifiés communiquer efficacement résultats analysis bom différentes équipes niveaux gestion poste peut être basé nantes déplacements prévoir entre site raison fois semaine minimum rémunération brute annuelle négocier selon expérience,Pole_Emploi
Chargé d'études Qualité DATA (H/F),CDD,35000.0,ITM ALIMENTAIRE INTERNATIONAL,Bondoufle 91070 Île-de-France,Île-de-France,Essonne,48.6137157,2.3805119,language,"['Direction Commerciale', 'Marques Propres', 'Chargé Etudes', 'H', 'Responsable Qualité', 'Rédiger', 'Procéder', 'Procéder', 'Chargé Etudes', 'Vous êtes', 'Data Quality']",2023-12-28,"Nous recherchons pour notre Direction Commerciale - Marques Propres, un.e Chargé d'Etudes Qualité Data junior H/F. Rattaché.e au Responsable Qualité Data de la Direction, vos principales missions seront : 

-	Rédiger avec les fournisseurs les cahiers des charges qualité de diverses catégories de produits sous Trace One 
-	Procéder aux corrections des anomalies détectées sur les données qualité dans Salsify (Alkemics), identifier les causes et proposer des actions correctives
-	Procéder aux saisies des données qualité confiées par le Chargé d'Etudes Qualité confirmé et/ou à leur mise à jour, dans les outils internes propres au métier qualité

Et si vos compétences venaient nourrir notre mission : 

Nous recherchons un profil autonome, rigoureux, doté d'un esprit de synthèse et d'analyse. Le travail en équipe et une bonne communication sont les clés de la réussite de vos futures missions. 

Vous êtes tout juste diplômé.e d'un Bac+5 en agroalimentaire, avec une première expérience ou spécialisation en qualité agroalimentaire.

Vous êtes sensible à la Data Quality. Vous souhaitez mettre votre motivation au profit d'un projet stratégique pour le Groupement et acquérir une expérience enrichissante, dans un environnement dynamique et en pleine transformation, alors rejoignez-nous !",recherchons direction commerciale marque propres chargé qualité data junior responsable qualité data direction principales mission rédiger fournisseurs cahiers charge qualité diver catégories produits sou trace one procéder correction anomaly détectées données qualité salsify alkemics identifier cause proposer action corrective procéder saisies données qualité confiées chargé qualité confirmé mise jour outils interne propres métier qualité si compétences venaient nourrir mission recherchons profil autonome rigoureux doté esprit synthèse travail équipe bonne communication clés réussite future mission tout juste agroalimentaire première expérience spécialisation qualité agroalimentaire sensible data quality souhaitez mettre motivation profit projet stratégique groupement acquérir expérience enrichissante environnement dynamique pleine transformation alors,Pole_Emploi
